objectid,Tipo de Trecho,Jurisdição,Administração,Concessionária,Revestimento,Operacionalização,Situação Física,Tráfego,Canteiro,Capacidade de Carga,Número de Faixas,st_length_,ID,geometria,Código de Trecho,shape,st_length(shape)
301,2,2,0, ,1,1,5,2,0,0,0,0.0828797,301,2,PE 483,,0.08287970361923981
302,2,2,0, ,1,1,5,2,0,0,0,0.05852415,302,2,PE 483,,0.05852414593942068
303,2,2,0, ,1,1,5,2,0,0,0,0.01466222,303,2,PE 081,,0.01466221889319021
304,2,2,0, ,3,1,5,2,0,0,0,0.09115062,304,2,PE 004,,0.09115062426917135
305,2,2,0, ,3,1,5,2,0,0,0,0.01460299,305,2,PE 052,,0.014602985289589409
306,2,2,0, ,1,1,5,2,0,0,0,0.04557537,306,1,PE 058,,0.04557536554574919
307,2,2,0, ,1,1,5,2,0,0,0,0.05110268,307,1,PE 058,,0.05110267608496611
311,2,2,0, ,1,1,5,2,0,0,0,0.01648862,311,2,PE 070,,0.01648862028301165
312,2,2,0, ,1,1,5,2,0,0,0,0.00918151,312,2,PE 070,,0.009181511605033355
316,2,2,0, ,1,1,5,2,0,0,0,0.03438857,316,2,PE 020,,0.03438857098543122
317,2,2,0, ,3,1,5,2,0,0,0,0.09596692,317,2,PE 020,,0.0959669242677685
318,2,2,0, ,1,1,5,2,0,0,0,0.00311858,318,2,PE 020,,0.0031185794335705265
319,2,2,0, ,3,1,5,2,0,0,0,0.02571709,319,2,PE 005,,0.025717094665372028
320,2,2,0, ,2,1,5,2,0,0,0,0.0673321,320,2,PE 048,,0.06733210326119608
325,2,2,0, ,3,1,5,2,0,0,0,0.01295095,325,2,PE 037,,0.012950952191803658
326,2,2,0, ,3,1,5,2,0,0,0,0.0835658,326,2,PE 039,,0.08356580424964724
327,2,2,0, ,3,1,5,2,0,0,0,0.06237654,327,2,PE 007,,0.062376541491216804
328,2,2,0, ,3,1,5,2,0,0,0,0.10884853,328,2,PE 017,,0.10884853064066377
335,2,2,0, ,3,1,5,2,0,0,0,0.02725408,335,2,PE 001,,0.027254077630645992
338,2,2,0, ,3,1,5,2,0,0,0,0.0279454,338,2,PE 015,,0.027945397353601964
339,2,1,0, ,3,1,5,1,0,0,2,0.13609935,339,2,BR 101,,0.13609935267752757
340,2,1,0, ,3,1,5,1,0,0,3,0.10077004,340,2,BR 101,,0.10077003590236383
341,2,2,0, ,3,1,5,2,0,0,2,0.07927078,341,2,PE 004,,0.07927077664364018
342,2,2,0, ,3,1,5,2,0,0,0,0.12191514,342,2,PE 016,,0.12191514034005373
343,2,2,0, ,1,1,5,2,0,0,0,0.12647228,343,2,PE 018,,0.1264722844448129
344,2,2,0, ,3,1,5,2,0,0,0,0.02975256,344,2,PE 018,,0.02975256426925404
347,2,2,0, ,1,1,5,2,0,0,0,0.14092783,347,1,PE 070,,0.1409278349694872
348,2,2,0, ,1,1,5,2,0,0,0,0.17638962,348,1,PE 051,,0.17638962387377724
349,2,2,0, ,1,1,5,2,0,0,0,0.0240163,349,1,PE 051,,0.024016303049930507
350,2,2,0, ,3,1,5,2,0,0,0,0.03272278,350,2,PE 051,,0.03272277624924192
351,2,2,0, ,3,1,5,2,0,0,2,0.09566125,351,2,PE 060,,0.0956612532987024
352,2,2,0, ,3,1,5,2,0,0,0,0.14045032,352,2,PE 008,,0.1404503215171076
353,2,1,0, ,3,1,5,1,0,0,0,0.14116813,353,2,BR 101,,0.14120006868846924
354,2,1,0, ,3,1,5,1,0,0,2,0.00851476,354,2,BR 101,,0.008514763560960774
355,2,2,0, ,3,1,5,2,0,0,0,0.03983224,355,2,PE 028,,0.039832244108247435
356,2,2,0, ,3,1,5,2,0,0,0,0.10691696,356,2,PE 009,,0.10691695926066387
381,2,2,0, ,1,1,5,2,0,0,0,0.22604814,381,2,PE 290,,0.22604814029898102
382,2,2,0, ,1,1,5,2,0,0,0,0.07886581,382,2,PE 290,,0.07886581402649112
392,2,2,0, ,3,1,5,2,0,0,0,1.05759265,392,2,PE 270,,1.0575926455962545
393,2,2,0, ,2,1,3,2,0,0,0,0.29131477,393,2,PE 193,,0.2913147699636358
411,2,1,0, ,3,1,5,1,0,0,0,0.38851109,411,2,BR 316/110,,0.3885110866272389
412,2,1,0, ,3,1,5,1,0,0,0,0.05158236,412,2,BR 424,,0.05158235839066584
394,2,2,0, ,3,1,5,2,0,0,0,0.03873978,394,2,PE 193,,0.03873977977900041
395,2,2,0, ,3,1,5,2,0,0,0,0.12465971,395,2,PE 149,,0.12465970971100146
408,2,2,0, ,1,1,5,2,0,0,0,0.06271299,408,2,PE 132,,0.06271299297805674
409,2,2,0, ,1,1,5,2,0,0,0,0.07566005,409,2,PE 132,,0.07566005324740639
413,2,2,0, ,1,1,5,2,0,0,0,0.22188442,413,2,PE 233,,0.22188441641846932
418,2,2,0, ,3,1,5,2,0,0,0,0.22487199,418,2,PE 300,,0.22487199402604718
419,2,2,0, ,3,1,5,2,0,0,0,0.18252289,419,2,PE 300,,0.18252289057914398
421,2,2,0, ,3,1,5,2,0,0,0,0.06239231,421,2,PE 300,,0.06239230513760083
427,2,2,0, ,2,1,5,2,0,0,0,0.05529052,427,2,PE 251,,0.05529051537917523
459,2,2,0, ,1,1,5,2,0,0,0,0.05441155,459,2,PE 636,,0.054411545430496165
438,2,2,0, ,3,1,5,2,0,0,0,0.13983791,438,2,PE 460,,0.13983791404611756
439,2,2,0, ,3,1,5,2,0,0,0,0.09954078,439,2,PE 460,,0.09954078490320153
440,2,2,0, ,1,1,5,2,0,0,0,0.30545312,440,2,PE 530,,0.30545312067642955
441,2,2,0, ,1,1,5,2,0,0,0,0.13770399,441,1,PE 530,,0.1377039936032505
442,2,2,0, ,1,1,5,2,0,0,0,0.12793588,442,1,PE 530,,0.12793588063955294
443,2,2,0, ,3,1,5,2,0,0,0,0.3312433,443,2,PE 555,,0.33124330472453783
444,2,2,0, ,3,1,5,2,0,0,0,0.1671654,444,2,PE 555,,0.16716540090103538
445,2,2,0, ,3,1,5,2,0,0,0,0.30210581,445,2,PE 555,,0.3021058068632023
446,2,2,0, ,3,1,5,2,0,0,0,0.0068736,446,2,PE 555,,0.00687359872808081
