objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
249,92845,R. DOMÍCIO RANGEL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023573379584687298
250,92842,EDIF. DONA IZABEL,PEAD,32,RESIDENCIAL,,0.00003220003479811784
251,92840,EDIF. DONA IZABEL,PEAD,32,RESIDENCIAL,,0.00039303287099573807
252,92781,RUA SANTA LÚCIA  (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.00021178776394534525
253,92762,EDIF. ALFAMAR,PEAD,32,RESIDENCIAL,,0.000011352649074114816
254,92761,RUA CAPITÃO REBELINHO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00013226562941671583
255,92760,EDIF. ALFAMAR,PEAD,32,RESIDENCIAL,,0.000010898216551344535
256,92759,AV. HERCULANO BANDEIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0005902345525789133
257,92758,RUA CAPITÃO REBELINHO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00003756376380960218
258,84688,PETROFLEX,AÇO,6,INDUSTRIAL,,0.012999443403789848
259,92612,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0006317758986564672
260,92524,R. PEDRO BÉRGAMO  (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.001746430212343508
261,92523,R. PEDRO BÉRGAMO  (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.00024838569486184184
262,92484,EDIF. PREFEITO AUGUSTO LUCENA,PEAD,32,RESIDENCIAL,,0.000007563740675089278
263,92481,EDIF. PREFEITO AUGUSTO LUCENA,PEAD,32,RESIDENCIAL,,0.0004811399157304175
264,92201,RDA 341.1 - ESTRUTURADOR CIDADE DE GOIANA - NORTH VILLE,AÇO,6,INDUSTRIAL,,0.00022739326829965744
265,92199,RAMAL DE SERVIÇO FIAT/SISTEMISTAS,AÇO,2,INDUSTRIAL,,0.0063631254416883325
266,92198,RSA 341 - NOVA SCHIN (PROJETO),AÇO,2,INDUSTRIAL,,0.0025760582053461086
267,92740,R. PASTOR JOSÉ AMARO DA SILVA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0004918700001666367
268,92737,EDIF. GUADIANA,PEAD,32,RESIDENCIAL,,0.0000099814525996971
269,92736,EDIF. GUADIANA,PEAD,32,RESIDENCIAL,,0.000010377062445605692
270,92722,R. RIBEIRO DE BRITO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0008384114991418849
271,92719,SELF SERVICE DO PRIMO,PEAD,32,COMERCIAL,,0.000018699134792818622
272,92717,SELF SERVICE DO PRIMO,PEAD,32,COMERCIAL,,0.000015963116550348182
273,92708,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00018870558910906692
274,92707,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005480461911603812
275,92706,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0000069791866545858394
276,92705,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00018958434211335
277,92554,EDIF. HYDE PARK,PEAD,32,RESIDENCIAL,,0.00010696064810536783
278,92550,CHINATOWN,PEAD,32,COMERCIAL,,0.000023759268861288522
279,92496,R. PEDRINÓPOLIS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025199760129608915
280,92495,R. ANICETO VAREJÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0034173035588821337
281,92494,R. HERMANO DE BARROS E SILVA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000005943317928564819
282,92493,R. DO JANGADEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005514496090859955
283,92448,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,0.0023533517821586122
284,92447,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,4.179189278299103e-8
285,92443,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,7.071067811865475e-9
286,92440,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,1.9209372712298546e-8
287,92437,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,4.3137266985042715e-8
288,92434,POSTO DUARTE COELHO,AÇO,4,INDUSTRIAL,,7.810249675906654e-9
289,92822,R. MAMANGUAPE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0001784647001881452
290,92819,JULIETTO,PEAD,32,COMERCIAL,,0.0001601234775499651
291,92817,BLUK,AÇO,2,INDUSTRIAL,,0.00039358107229775876
292,92816,PUMA,AÇO,2,INDUSTRIAL,,0.0005137720752231082
293,92814,PUMA E BLUK,AÇO,2,INDUSTRIAL,,0.000776901048657228
294,92813,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00002065664650905369
295,92810,PIZZARIA SICILIANA,PEAD,32,COMERCIAL,,0.00042351235790259815
296,92809,PIZZARIA SICILIANA,PEAD,32,COMERCIAL,,0.00003169818433286046
297,92808,R. IZABEL MAGALHÃES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0003887091846364556
298,92805,EDIF. PORTO DO MAR,PEAD,32,RESIDENCIAL,,0.00015771111655889987
299,92803,EDIF. PORTO DO MAR,PEAD,32,RESIDENCIAL,,0.000010849333988775532
300,92802,R. JOSÉ NUNES DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00006441451837124919
301,92799,EDIF. ACQUA PRINCE,PEAD,32,RESIDENCIAL,,0.00004697692731543859
302,92192,EDIF. JARDINS,PEAD,32,RESIDENCIAL,,0.000007316629825267915
303,92190,EDIF. JARDINS,PEAD,32,RESIDENCIAL,,0.00008902108978666035
304,92085,BR-101 NORTE/SÃO MATEUS,AÇO,6,INDUSTRIAL,,0.016414085177406033
305,90357,RAMAL INDÚSTRIA KLABIN,AÇO,6,INDUSTRIAL,,0.002305074692317082
306,90356,RAMAL NORTE,AÇO,6,INDUSTRIAL,,0.0007296932908093017
307,90354,RAMAL NORTE,AÇO,6,INDUSTRIAL,,0.010309719454432256
308,91130,R. JOSÉ NUNES DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0009628353611674358
309,91129,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0010023774097204978
310,91128,R. JOANA ARAÚJO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005022574025387779
311,91122,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0003727634650807391
312,91121,R. DR. JOSÉ NUNES DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00040679310078712004
313,91119,R. DR. JOSÉ NUNES DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00019397109369270857
314,91117,R. DR. JOSÉ NUNES DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0004941247897950476
315,90989,R. ERNESTO DE PAULA SANTOS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00040723841882530287
